Full Name,Student ID,Gender,Student Type,Average Grade,Study Programme,Study Area,Internship Options,Company Preferences,First Preference,Second Preference,Internship Status,Internship Semester,Date of Birth,Offer Date
Vincent Smith,20211939,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"API development, Game development, Business analysis, Software testing","Gallagher, Fonterra, Other, Enlighten Design",Internal client internship/project,GIG - Internal client based projects,For Review,2023 S2,1/10/1993,
Kyle Davis,20234483,Male,International,A grade,Master of Applied IT,Database or Data Analytics,"Other, Mobile app development, Networking","Fonterra, Other, CTEK",Design Factory,Design Factory,Placed,2021 S2,8/05/1996,20/07/2024
Lee Ramsey,20252513,Female,Domestic,A grade,Bachelor of Applied IT,Software Engineering,"Mobile app development, UX/UI design","Enlighten Design, Waikato Regional Council, Tuatahi First Fibre, Gallagher",GIG - Internal client based projects,Classroom project,Placed,2023 S2,13/07/2006,9/07/2024
Victor Brown,20222973,Female,International,A grade,Bachelor of Applied IT,Database or Data Analytics,"Database, Mobile app development, Data analytics","LIC, Tuatahi First Fibre, Datacom",GIG - Internal client based projects,Internship,Available,2023 S1,16/08/2005,
Dakota Sandoval,20267915,Male,Domestic,C grade,Bachelor of Applied IT,Network Engineering,"Web development, Mobile app development, Business analysis, Database","Blackout Games, Other, IT Partners",GIG - Internal client based projects,Internship,For Review,2020 S2,15/07/1998,
Richard Dixon,20291547,Female,Domestic,B grade,Master of Applied IT,Software Engineering,"Mobile app development, Data analytics","Tuatahi First Fibre, CTEK",Internal client internship/project,Industry project,Placed,2022 S1,8/09/1996,20/02/2024
Megan Ward,20285854,Male,International,A grade,Master of Applied IT,Business Analysis or Project Management,"Game development, Software testing, Data analytics, Networking",Blackout Games,Internal client internship/project,Internship,Placed,2023 S1,24/10/1988,17/02/2024
Angie Hill,20252354,Female,Domestic,B grade,Master of Applied IT,Database or Data Analytics,UX/UI design,Waikato Regional Council,Internship,Design Factory,For Review,2024 S1,26/10/2000,
Jennifer Gonzalez,20202014,Male,Domestic,C grade,Master of Applied IT,Software Engineering,Software testing,"IT Partners, Tuatahi First Fibre, Enlighten Design, Datacom",GIG - Internal client based projects,Internal client internship/project,For Review,2021 S1,20/02/1991,
Krista Barber,20273284,Female,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,Game development,"Gallagher, Waikato Regional Council, Fonterra",Internship,Internship,For Review,2022 S2,24/08/2000,
Robert Perez,20225496,Male,Domestic,A grade,Master of Applied IT,Database or Data Analytics,"Data analytics, Project management, Software testing, Web development, Business analysis","Enlighten Design, Waikato Regional Council, Datacom",Industry project,Industry project,For Review,2022 S1,11/04/2004,
Laura Green,20253363,Male,International,C grade,Master of Applied IT,Network Engineering,"Database, Mobile app development",CTEK,Internal client internship/project,Industry project,Placed,2021 S2,11/01/2006,10/07/2024
Benjamin Phillips,20215336,Male,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Networking, System support – help desk, Data analytics",Fonterra,Internship,Classroom project,Placed,2021 S2,8/04/2006,2/07/2024
Sherri Li,20275352,Female,Domestic,B grade,Bachelor of Applied IT,Software Engineering,"Business analysis, Security, Software testing, System support – help desk",Datacom,Industry project,Internship,Available,2024 S2,25/04/1997,
Tracy Hart,20231886,Female,Domestic,A grade,Bachelor of Applied IT,Network Engineering,"Mobile app development, Data analytics, API development, Database, Security","Gallagher, Other, Fonterra, Hospital",Classroom project,Internship,Available,2022 S2,12/05/2000,
Judy Murray,20276916,Male,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,Project management,"Tuatahi First Fibre, Gallagher, IT Partners, CTEK",Internship,Industry project,For Review,2021 S1,25/09/1989,
Mr. James Kramer,20228885,Male,International,C grade,Bachelor of Applied IT,Software Engineering,"Software testing, Networking, Other, Business analysis","Enlighten Design, Hospital",Internal client internship/project,Internal client internship/project,Placed,2023 S1,17/08/1996,14/02/2024
Jennifer Gomez,20270208,Male,International,C grade,Bachelor of Applied IT,Software Engineering,"Security, Software testing, System support – help desk",Tuatahi First Fibre,Industry project,Internal client internship/project,Available,2022 S2,18/02/1989,
Deborah Mitchell,20252288,Female,International,A grade,Postgraduate Diploma in Applied IT,Network Engineering,"Networking, UX/UI design, System support – help desk, Game development",Blackout Games,Classroom project,Design Factory,Placed,2024 S1,10/06/2000,6/02/2024
Timothy Woods,20246338,Male,International,B grade,Bachelor of Applied IT,Network Engineering,"Security, Other, Data analytics, UX/UI design","Blackout Games, Tuatahi First Fibre, Datacom, Waikato Regional Council",GIG - Internal client based projects,Internship,Available,2023 S2,29/03/1996,
Debra Valentine,20289536,Female,International,B grade,Master of Applied IT,Database or Data Analytics,"Project management, UX/UI design, Security, Data analytics, Other","Datacom, HCC - Hamilton City Council",Design Factory,Industry project,For Review,2021 S2,11/04/1995,
Mr. Nicolas Salas II,20226577,Male,International,C grade,Postgraduate Diploma in Applied IT,Database or Data Analytics,"Security, Web development, Software testing, API development, System support – help desk","CTEK, Enlighten Design, Tuatahi First Fibre",GIG - Internal client based projects,Design Factory,Placed,2024 S1,20/04/1997,9/02/2024
Heather Maxwell,20215712,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Software Engineering,"UX/UI design, Networking, Other, Game development, Software testing","Datacom, Gallagher",Industry project,GIG - Internal client based projects,For Review,2021 S2,23/06/1991,
Mary Austin,20270972,Female,Domestic,A grade,Master of Applied IT,Business Analysis or Project Management,"Other, Mobile app development, Web development, Project management","Tuatahi First Fibre, HCC - Hamilton City Council, Other, Waikato Regional Council",Internal client internship/project,Design Factory,Available,2020 S2,30/03/1990,
Jacqueline Stewart,20275303,Female,Domestic,B grade,Bachelor of Applied IT,Database or Data Analytics,"Software testing, Data analytics, Database","Hospital, LIC, Other, CTEK",Design Factory,Internal client internship/project,For Review,2022 S2,25/02/1998,
William Moon IV,20229110,Male,International,A grade,Bachelor of Applied IT,Business Analysis or Project Management,Security,"Datacom, CTEK, IT Partners",Classroom project,Classroom project,Placed,2020 S2,2/03/1993,6/07/2024
Robert Mendoza,20270879,Female,International,A grade,Master of Applied IT,Software Engineering,Web development,"Blackout Games, Waikato Regional Council, Datacom",Design Factory,Design Factory,Placed,2020 S1,29/11/1989,12/02/2024
Jennifer Parks,20222911,Male,International,B grade,Bachelor of Applied IT,Network Engineering,"Project management, Other","Other, Enlighten Design",Industry project,Design Factory,Placed,2023 S1,11/05/2004,9/02/2024
Melissa Stevens,20290336,Male,Domestic,B grade,Postgraduate Diploma in Applied IT,Business Analysis or Project Management,"Data analytics, Mobile app development, System support – help desk, API development",LIC,Internal client internship/project,GIG - Internal client based projects,Placed,2022 S1,2/02/1989,24/02/2024
Daniel Carpenter,20242655,Male,International,B grade,Bachelor of Applied IT,Software Engineering,"Other, System support – help desk, Web development, Game development","Hospital, Fonterra",Classroom project,Design Factory,For Review,2021 S2,8/02/2001,
Debbie Dunn,20231082,Male,International,B grade,Bachelor of Applied IT,Business Analysis or Project Management,UX/UI design,"HCC - Hamilton City Council, Tuatahi First Fibre",Industry project,GIG - Internal client based projects,Available,2022 S2,21/12/1997,
Louis Diaz,20265374,Male,Domestic,C grade,Bachelor of Applied IT,Business Analysis or Project Management,"Project management, Data analytics","LIC, Blackout Games, Waikato Regional Council",Classroom project,Industry project,For Review,2022 S2,25/03/2003,
Michael Watson,20252506,Male,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,"Business analysis, System support – help desk, UX/UI design, Data analytics","HCC - Hamilton City Council, Blackout Games, LIC",Internship,GIG - Internal client based projects,Placed,2024 S2,27/04/1998,8/07/2024
Kenneth Krause,20289916,Female,Domestic,B grade,Bachelor of Applied IT,Network Engineering,"Other, UX/UI design, Software testing","IT Partners, Hospital, Blackout Games",Internal client internship/project,Classroom project,Placed,2022 S1,31/07/1996,3/02/2024
Michelle Brock,20272789,Male,International,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Data analytics, Web development, Business analysis, Game development, API development",Other,GIG - Internal client based projects,Classroom project,Placed,2024 S2,6/07/2003,13/07/2024
Christina Marsh,20296802,Female,International,C grade,Bachelor of Applied IT,Network Engineering,"Security, Other, Web development, Mobile app development, Business analysis","Fonterra, Enlighten Design, Gallagher, CTEK",GIG - Internal client based projects,Classroom project,Available,2024 S2,22/11/1993,
Adam Fisher,20217625,Male,Domestic,C grade,Master of Applied IT,Business Analysis or Project Management,Web development,"Gallagher, Hospital",Internal client internship/project,Internship,Available,2023 S1,25/05/2006,
Emily Tucker,20232895,Female,Domestic,B grade,Master of Applied IT,Database or Data Analytics,"Web development, API development, Data analytics",CTEK,Classroom project,GIG - Internal client based projects,Placed,2022 S1,5/06/1990,7/02/2024
Michael Brown,20262460,Female,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,Mobile app development,"Waikato Regional Council, Blackout Games, HCC - Hamilton City Council",Internal client internship/project,Internal client internship/project,For Review,2020 S2,30/01/1992,
George Ward,20273446,Female,Domestic,C grade,Postgraduate Diploma in Applied IT,Software Engineering,"Web development, API development, UX/UI design, Data analytics","CTEK, Tuatahi First Fibre, Other",Industry project,Industry project,Available,2020 S1,28/07/1997,
Jason Bell,20289074,Male,Domestic,C grade,Master of Applied IT,Database or Data Analytics,"Database, System support – help desk, Game development, Business analysis, Security","LIC, Other",GIG - Internal client based projects,Design Factory,Placed,2023 S1,29/07/1995,5/02/2024
Marie Ryan,20237304,Female,Domestic,B grade,Bachelor of Applied IT,Business Analysis or Project Management,Other,"Waikato Regional Council, Other, LIC",Internal client internship/project,Industry project,Available,2020 S1,20/11/2000,
Jordan Hampton,20258580,Male,Domestic,A grade,Postgraduate Diploma in Applied IT,Software Engineering,"Web development, Other","Hospital, HCC - Hamilton City Council, Datacom, Gallagher",Internal client internship/project,Industry project,For Review,2024 S2,22/06/1991,
Dustin Welch,20218985,Female,Domestic,C grade,Master of Applied IT,Software Engineering,"System support – help desk, Database, Business analysis, Game development","Enlighten Design, IT Partners, CTEK, Other",Classroom project,Internal client internship/project,Available,2021 S2,4/07/1994,
